"","pt","varName","gcm","Rcp","era","x.mean","x.sd"
"1","BC","prcptot","BNU-ESM","rcp45","2071-2100",1.19902883667302,0.0797188453350181
"2","BC","prcptot","BNU-ESM","rcp45","2041-2070",1.16997127187492,0.0591737329067149
"3","BC","prcptot","CCSM4","rcp45","2071-2100",1.06743463886768,0.0471716521349329
"4","BC","prcptot","CCSM4","rcp45","2041-2070",1.05360858798617,0.0376378153709372
"5","BC","prcptot","CESM1-CAM5","rcp45","2071-2100",1.07233949009958,0.0348200986460121
"6","BC","prcptot","CESM1-CAM5","rcp45","2041-2070",1.0883158533488,0.04758250427771
"7","BC","prcptot","CNRM-CM5","rcp45","2071-2100",1.12370692770135,0.0355117751630045
"8","BC","prcptot","CNRM-CM5","rcp45","2041-2070",1.0527041424015,0.0325495285241535
"9","BC","prcptot","CSIRO-Mk3-6-0","rcp45","2071-2100",1.11779216028052,0.0559270540898545
"10","BC","prcptot","CSIRO-Mk3-6-0","rcp45","2041-2070",1.0793501594221,0.046458465296086
"11","BC","prcptot","CanESM2","rcp45","2071-2100",1.15736627337516,0.0573279520151461
"12","BC","prcptot","CanESM2","rcp45","2041-2070",1.10419000854078,0.0469980790377201
"13","BC","prcptot","FGOALS-g2","rcp45","2071-2100",1.10968212727415,0.0204133922934667
"14","BC","prcptot","FGOALS-g2","rcp45","2041-2070",1.09772902072652,0.0179356580577096
"15","BC","prcptot","GFDL-CM3","rcp45","2071-2100",1.20383705895613,0.0748403079465179
"16","BC","prcptot","GFDL-CM3","rcp45","2041-2070",1.18737041372568,0.0895507351236602
"17","BC","prcptot","GFDL-ESM2G","rcp45","2071-2100",1.1028892315024,0.0614621223365823
"18","BC","prcptot","GFDL-ESM2G","rcp45","2041-2070",1.0873994259964,0.0515485250036429
"19","BC","prcptot","GFDL-ESM2M","rcp45","2071-2100",1.06644505740155,0.0452158913099913
"20","BC","prcptot","GFDL-ESM2M","rcp45","2041-2070",1.07027805344933,0.0386221547515242
"21","BC","prcptot","HadGEM2-AO","rcp45","2071-2100",1.04289988394594,0.0573227101084028
"22","BC","prcptot","HadGEM2-AO","rcp45","2041-2070",1.04085747032115,0.0307740346554849
"23","BC","prcptot","HadGEM2-ES","rcp45","2071-2100",1.10705483970339,0.0583025393640587
"24","BC","prcptot","HadGEM2-ES","rcp45","2041-2070",1.08118399848623,0.0539512842149964
"25","BC","prcptot","IPSL-CM5A-LR","rcp45","2071-2100",1.05205755448759,0.0515281643258541
"26","BC","prcptot","IPSL-CM5A-LR","rcp45","2041-2070",1.03882745069822,0.0532559038267004
"27","BC","prcptot","IPSL-CM5A-MR","rcp45","2071-2100",1.05248891962022,0.0443523358008091
"28","BC","prcptot","IPSL-CM5A-MR","rcp45","2041-2070",1.05822691143984,0.0675626768665293
"29","BC","prcptot","MIROC-ESM-CHEM","rcp45","2071-2100",1.14338329888665,0.0471121323709749
"30","BC","prcptot","MIROC-ESM-CHEM","rcp45","2041-2070",1.1043589522969,0.040447840646363
"31","BC","prcptot","MIROC-ESM","rcp45","2071-2100",1.1474286259389,0.024494276886761
"32","BC","prcptot","MIROC-ESM","rcp45","2041-2070",1.10478152716885,0.0278655333283001
"33","BC","prcptot","MIROC5","rcp45","2071-2100",1.1082744392144,0.0313041091424431
"34","BC","prcptot","MIROC5","rcp45","2041-2070",1.07783451466677,0.0289372857257991
"35","BC","prcptot","MPI-ESM-LR","rcp45","2071-2100",1.10598060745374,0.0417709781250484
"36","BC","prcptot","MPI-ESM-LR","rcp45","2041-2070",1.08426484910753,0.0463225464991604
"37","BC","prcptot","MPI-ESM-MR","rcp45","2071-2100",1.11667165069446,0.0450832185282714
"38","BC","prcptot","MPI-ESM-MR","rcp45","2041-2070",1.12356843158884,0.0462244262326711
"39","BC","prcptot","MRI-CGCM3","rcp45","2071-2100",1.0740330058929,0.0553751129720198
"40","BC","prcptot","MRI-CGCM3","rcp45","2041-2070",1.05924185584875,0.0353273313836471
"41","BC","prcptot","NorESM1-ME","rcp45","2071-2100",1.11289161467373,0.0498097305068349
"42","BC","prcptot","NorESM1-ME","rcp45","2041-2070",1.05808242888577,0.047248010137095
"43","BC","prcptot","NorESM1-M","rcp45","2071-2100",1.1039926665575,0.0368615626332557
"44","BC","prcptot","NorESM1-M","rcp45","2041-2070",1.06284254212225,0.0346683583296691
"45","BC","prcptot","bcc-csm1-1-m","rcp45","2071-2100",1.089387087308,0.0447720423223659
"46","BC","prcptot","bcc-csm1-1-m","rcp45","2041-2070",1.07223100406243,0.030967585435112
"47","BC","prcptot","bcc-csm1-1","rcp45","2071-2100",1.15294098150876,0.0440571404696312
"48","BC","prcptot","bcc-csm1-1","rcp45","2041-2070",1.14737273066933,0.040047153841099
"49","BC","prcptot","ACCESS1-0","rcp45","2071-2100",1.05386790490712,0.0483652009959806
"50","BC","prcptot","ACCESS1-0","rcp45","2041-2070",1.04299937615252,0.0674677485311836
"51","BC","prcptot","BNU-ESM","rcp85","2071-2100",1.29811700147524,0.102492273672241
