"","pt","varName","gcm","Rcp","era","x.mean","x.sd"
"1","BC","tg_mean","BNU-ESM","rcp45","2071-2100",4.4505933390525,0.625873855737878
"2","BC","tg_mean","BNU-ESM","rcp45","2041-2070",3.49855677953323,0.524820990023025
"3","BC","tg_mean","CCSM4","rcp45","2071-2100",2.9066452008085,0.233549717309792
"4","BC","tg_mean","CCSM4","rcp45","2041-2070",2.03480512988376,0.153537382969919
"5","BC","tg_mean","CESM1-CAM5","rcp45","2071-2100",3.33280683731415,0.265685041136974
"6","BC","tg_mean","CESM1-CAM5","rcp45","2041-2070",2.51554230728138,0.19802331216695
"7","BC","tg_mean","CNRM-CM5","rcp45","2071-2100",2.78115893745737,0.253612799892955
"8","BC","tg_mean","CNRM-CM5","rcp45","2041-2070",2.14391929874417,0.169766036715179
"9","BC","tg_mean","CSIRO-Mk3-6-0","rcp45","2071-2100",3.40218207699392,0.256262279023394
"10","BC","tg_mean","CSIRO-Mk3-6-0","rcp45","2041-2070",2.83839216427977,0.197287536518502
"11","BC","tg_mean","CanESM2","rcp45","2071-2100",4.01874850634349,0.236851538075895
"12","BC","tg_mean","CanESM2","rcp45","2041-2070",3.48039453679865,0.250545946426927
"13","BC","tg_mean","FGOALS-g2","rcp45","2071-2100",1.89526058446688,0.175007207431668
"14","BC","tg_mean","FGOALS-g2","rcp45","2041-2070",2.07870675818692,0.190425997524462
"15","BC","tg_mean","GFDL-CM3","rcp45","2071-2100",3.77226338680051,0.333910649481204
"16","BC","tg_mean","GFDL-CM3","rcp45","2041-2070",3.11181620286042,0.344803929773899
"17","BC","tg_mean","GFDL-ESM2G","rcp45","2071-2100",2.29665549808015,0.0961081548005673
"18","BC","tg_mean","GFDL-ESM2G","rcp45","2041-2070",2.12867952660742,0.113776490030436
"19","BC","tg_mean","GFDL-ESM2M","rcp45","2071-2100",1.22095897652279,0.122815324253791
"20","BC","tg_mean","GFDL-ESM2M","rcp45","2041-2070",1.12499485470068,0.185020588586394
"21","BC","tg_mean","HadGEM2-AO","rcp45","2071-2100",4.35758385651837,0.416782033885209
"22","BC","tg_mean","HadGEM2-AO","rcp45","2041-2070",3.12196906790934,0.343310557438071
"23","BC","tg_mean","HadGEM2-ES","rcp45","2071-2100",4.34346773639774,0.549627773071538
"24","BC","tg_mean","HadGEM2-ES","rcp45","2041-2070",3.32952692438354,0.503404621581551
"25","BC","tg_mean","IPSL-CM5A-LR","rcp45","2071-2100",3.38928845965328,0.277522689214517
"26","BC","tg_mean","IPSL-CM5A-LR","rcp45","2041-2070",2.88072634221766,0.221390089201028
"27","BC","tg_mean","IPSL-CM5A-MR","rcp45","2071-2100",3.22828856452918,0.143610302814205
"28","BC","tg_mean","IPSL-CM5A-MR","rcp45","2041-2070",2.73723320520369,0.188243091560452
"29","BC","tg_mean","MIROC-ESM-CHEM","rcp45","2071-2100",4.44157282949404,0.50098427727325
"30","BC","tg_mean","MIROC-ESM-CHEM","rcp45","2041-2070",3.80127673786844,0.54367599030721
"31","BC","tg_mean","MIROC-ESM","rcp45","2071-2100",4.48283087773399,0.504638065581526
"32","BC","tg_mean","MIROC-ESM","rcp45","2041-2070",3.88786040770717,0.453477435094065
"33","BC","tg_mean","MIROC5","rcp45","2071-2100",3.57244766895796,0.438122984821292
"34","BC","tg_mean","MIROC5","rcp45","2041-2070",2.72275544127001,0.379378147746883
"35","BC","tg_mean","MPI-ESM-LR","rcp45","2071-2100",2.3569470448856,0.249632241322251
"36","BC","tg_mean","MPI-ESM-LR","rcp45","2041-2070",2.39559567679862,0.262070351817836
"37","BC","tg_mean","MPI-ESM-MR","rcp45","2071-2100",3.03556165342401,0.296406067905133
"38","BC","tg_mean","MPI-ESM-MR","rcp45","2041-2070",2.27154278437392,0.183596166164223
"39","BC","tg_mean","MRI-CGCM3","rcp45","2071-2100",1.97476932833576,0.112820642802372
"40","BC","tg_mean","MRI-CGCM3","rcp45","2041-2070",1.36412371820687,0.126778027536468
"41","BC","tg_mean","NorESM1-ME","rcp45","2071-2100",3.18626380498777,0.288229071911758
"42","BC","tg_mean","NorESM1-ME","rcp45","2041-2070",2.47719571575069,0.288671145637381
"43","BC","tg_mean","NorESM1-M","rcp45","2071-2100",3.17787277361082,0.251666524314778
"44","BC","tg_mean","NorESM1-M","rcp45","2041-2070",2.65799173124004,0.251005782049415
"45","BC","tg_mean","bcc-csm1-1-m","rcp45","2071-2100",2.81932009025232,0.327845077622622
"46","BC","tg_mean","bcc-csm1-1-m","rcp45","2041-2070",1.94971560103568,0.168478286901554
"47","BC","tg_mean","bcc-csm1-1","rcp45","2071-2100",3.25164013814476,0.205980675586521
"48","BC","tg_mean","bcc-csm1-1","rcp45","2041-2070",2.67251485333536,0.140654311966342
"49","BC","tg_mean","ACCESS1-0","rcp45","2071-2100",3.61782592275247,0.415669429292557
"50","BC","tg_mean","ACCESS1-0","rcp45","2041-2070",2.72527400415708,0.316849643548511
"51","BC","tg_mean","BNU-ESM","rcp85","2071-2100",6.99854582620449,0.860140098700376
"52","BC","tg_mean","BNU-ESM","rcp85","2041-2070",4.68891030106338,0.59774178480965
"53","BC","tg_mean","CCSM4","rcp85","2071-2100",5.35798706721988,0.44212430498066
"54","BC","tg_mean","CCSM4","rcp85","2041-2070",3.16301571096295,0.297186077802034
"55","BC","tg_mean","CESM1-CAM5","rcp85","2071-2100",5.43737180857525,0.391099704108803
"56","BC","tg_mean","CESM1-CAM5","rcp85","2041-2070",3.20420648638531,0.229174139257496
"57","BC","tg_mean","CNRM-CM5","rcp85","2071-2100",4.70388803657736,0.355080013258697
"58","BC","tg_mean","CNRM-CM5","rcp85","2041-2070",2.58038032992221,0.24153942421772
"59","BC","tg_mean","CSIRO-Mk3-6-0","rcp85","2071-2100",5.60010903578274,0.45785071660132
